San Angel,Fedex,Av. Insurgentes Sur 1971,Sobre Insurgentes nivel -1,San Angel,México,Distrito Federal,01020,09:00,18:00,,,09:00,14:00,,,,5556623688,,,,19.352064,-99.1871032,Fedex,MEXB
Florida,Fedex,Av.Insurgentes Sur 1756,Esq. Francia,Florida,Alvaro Obregón,Distrito Federal,01030,09:00,19:00,,,09:00,14:00,,,,5552288074,,,,19.3587337,-99.1835693,Fedex,MEXM
San Angel,Fedex,Insurgentes Sur #2342-B,Rafael Checa y Rio Chico,Sn Angel Chimalistac,Alvaro Obregon,Distrito Federal,01070,09:00,18:30,,,09:00,14:00,,,,5556616570,,,,19.3438037,-99.1886334,Fedex,CZAP
Observatorio,Fedex,Av.Observatorio #501,Lino y Bisnaga,Las Palmas,Alvaro Obregon,Distrito Federal,01110,09:00,19:00,,,09:00,15:00,,,,5552728220,,,,19.3998406,-99.2117932,Fedex,MUGS
Santa Fe,Fedex,Guillermo Gonzalez Camarena 111-6,Esq. Juan Segale,Santa Fe,Alvaro Obregon,Distrito Federal,01219,09:00,19:00,,,09:00,14:00,,,,5525910115,,,,19.3679004,-99.2620115,Fedex,TLCCM
Norte 45,Fedex,Norte 45 #1017- 2,Entre Poniente 140 y Poniente 146,Vallejo,México,Distrito Federal,02300,09:00,19:30,,,09:00,15:00,,,,5553686466,,,,19.4984591,-99.1580689,Fedex,MUGB
Tezozomoc,Fedex,Av Tezozomoc;#432,Esq. Rafael Buelna,Tezozomoc,México,Distrito Federal,02459,09:00,18:00,,,09:00,15:00,,,,5553833673,,,,19.4878907,-99.1957744,Fedex,MUGCZ
Azcapotzalco,Fedex,Calzada Camarones #231,Camarones y Yuca,Nueva Santa Maria,México,Distrito Federal,02800,09:00,18:00,,,09:00,15:00,,,,5555560948,,,,19.4655188,-99.172984,Fedex,MUGCC
Vallejo Héroes de Nacozari,Fedex,Calle 9 #175,Esq. Vallejo,Porvenir,Azcapotzalco,Distrito Federal,02940,09:00,18:30,,,09:00,14:00,,,,5526317907,,,,19.4710296,-99.1453657,Fedex,MUGCQ
Doctor  Vertiz,Fedex,Dr.Vertiz 958,Torres Abali; Concepción Beistegui,Narvarte,México,Distrito Federal,03020,09:00,21:00,,,09:00,16:00,,,,5556821923,,,,19.3866342,-99.1516981,Fedex,CZAE
Del Valle,Fedex,Av Cuauhtemoc 1233,Miguel Laurent y San Lorenzo,Santa Cruz Atoyac,Benito Juarez,Distrito Federal,03310,09:00,19:00,,,09:00,14:00,,,,5556059653,,,,19.3729727,-99.160835,Fedex,CZACD
Tlalpan Villa de Cortes,Fedex,Rufino Blanco Fombona #2504,Esq Tlapan y Santiago,Ixtazihuatl,México,Distrito Federal,03520,09:00,18:30,,,09:00,14:00,,,,5555791431,,,,19.3906821,-99.1381231,Fedex,CZACT
Nápoles,Fedex,Av. Insurgentes Sur #933,Casi Esq. con San Antonio,Amp Nápoles,México,Distrito Federal,03710,09:00,19:00,,,09:00,14:00,,,,18009001100,,,,19.3856214,-99.1754791,Fedex,MEXD
San Jose Revolución,Fedex,Av. Revolucion #1140,Mercederes y Jose Ma Velasco,Sn Jose Insurgentes,México,Distrito Federal,03900,09:00,20:30,,,09:00,14:00,,,,5555935834,,,,19.3652711,-99.1886706,Fedex,CZAN
Patriotismo,Fedex,Patriotismo # 767 PB,Entre Rubens y Carracci,Mixcoac,Benito Juarez,Distrito Federal,03910,09:00,19:00,,,09:00,14:00,,,,5552288077,,,,19.3776902,-99.185906,Fedex,MEXK
Taxqueña,Fedex,Cerro De Jesus #199,Av. Taxqueña y Churubusco,Campestre Churubusco,Coyoacán,Distrito Federal,04200,09:00,19:20,,,09:00,13:00,,,,5555492777,,,,19.3449578,-99.1378445,Fedex,CZAJ
La Viga,Fedex,Calz. de la Viga  1975,Casi esquina Osa menor,Prado Churubusco,México,Distrito Federal,04230,09:00,19:00,,,09:00,14:00,,,,18009001100,,,,19.3543813,-99.1217019,Fedex,AZPC
